date,comment,hit_rate_mean,r2_oos_mean,hit_rate_AAPL,hit_rate_AMZN,hit_rate_GOOG,hit_rate_GOOGL,hit_rate_MSFT,hit_rate_TSLA
2026-06-21 13:01:02,overnight V2 T=BoWfull,0.5125661375661376,-0.0499657824217486,0.4523809523809524,0.5,0.5634920634920635,0.5119047619047619,0.503968253968254,0.5436507936507936
2026-06-21 13:04:57,overnight V2 T=BoW+VADERfull,0.5112433862433862,-0.0340542744814597,0.4484126984126984,0.503968253968254,0.5515873015873016,0.5238095238095238,0.496031746031746,0.5436507936507936
2026-06-21 13:45:03,T=VADER | HL=RoBERTa+BoW+TBlob+VADER delta 0.8,0.5006613756613757,-0.0659606878373047,0.5,0.5,0.5198412698412699,0.5317460317460317,0.4603174603174603,0.492063492063492
2026-06-21 13:52:19,T=VADER | HL=VADER delta 0.8,0.5026455026455027,-0.0619325747327441,0.4722222222222222,0.492063492063492,0.5515873015873016,0.5198412698412699,0.4880952380952381,0.492063492063492
2026-06-21 13:59:36,T=VADER | HL=BoW+TBlob+VADER delta 0.8,0.5066137566137566,-0.0570914567870474,0.5158730158730159,0.5,0.5119047619047619,0.5436507936507936,0.4880952380952381,0.4801587301587302
2026-06-21 14:03:18,overnight T=VADER delta 0.8,0.5092592592592592,-0.012911894543831,0.5079365079365079,0.4682539682539682,0.5515873015873016,0.5158730158730159,0.4682539682539682,0.5436507936507936
2026-06-21 14:06:55,overnight T=TBlob+VADER delta 0.8,0.5079365079365079,-0.0339935026705336,0.4603174603174603,0.5119047619047619,0.5515873015873016,0.5277777777777778,0.4801587301587302,0.5158730158730159
2026-06-21 14:16:26,T=VADER | HL=RoBERTa+BoW+TBlob+VADER delta 0.95,0.4973544973544974,-0.0470656988120441,0.5238095238095238,0.4880952380952381,0.503968253968254,0.5158730158730159,0.4761904761904761,0.4761904761904761
2026-06-21 14:23:48,T=VADER | HL=VADER delta 0.95,0.494047619047619,-0.0309329699150321,0.4642857142857143,0.5,0.5119047619047619,0.5436507936507936,0.4682539682539682,0.4761904761904761
2026-06-21 14:31:26,T=VADER | HL=BoW+TBlob+VADER delta 0.95,0.4880952380952381,-0.0456691605594976,0.492063492063492,0.4880952380952381,0.492063492063492,0.5158730158730159,0.4642857142857143,0.4761904761904761
2026-06-21 14:35:01,overnight T=VADER delta 0.95,0.5218253968253969,-0.0092954553860566,0.5317460317460317,0.4761904761904761,0.5515873015873016,0.5158730158730159,0.5,0.5555555555555556
2026-06-21 14:38:53,overnight T=TBlob+VADER delta 0.95,0.5112433862433862,-0.0163571843233918,0.4761904761904761,0.492063492063492,0.5555555555555556,0.5198412698412699,0.4801587301587302,0.5436507936507936
2026-06-21 14:42:28,HL=VADER delta 0.95,0.5033068783068783,-0.0323665998639769,0.492063492063492,0.496031746031746,0.5158730158730159,0.5119047619047619,0.5277777777777778,0.4761904761904761
2026-06-21 14:46:03,T=VADER delta 0.95,0.5138888888888888,-0.0135907424084456,0.5238095238095238,0.4841269841269841,0.5357142857142857,0.5079365079365079,0.4761904761904761,0.5555555555555556
2026-06-21 14:49:39,overnight T=TBlob delta 0.95,0.5046296296296297,-0.0258826658123125,0.4523809523809524,0.5238095238095238,0.5317460317460317,0.5198412698412699,0.4603174603174603,0.5396825396825397
2026-06-21 14:56:43,T=BoW+VADER | HL=VADER delta 0.95,0.4947089947089947,-0.0426139529397071,0.496031746031746,0.492063492063492,0.5119047619047619,0.5158730158730159,0.4801587301587302,0.4722222222222222
2026-06-21 15:01:31,T=VADER | HL=BoW+VADER delta 0.95,0.4927248677248677,-0.0509616182454012,0.5238095238095238,0.4682539682539682,0.496031746031746,0.5198412698412699,0.4722222222222222,0.4761904761904761
2026-06-21 15:03:44,overnight V2 T=BoW delta 0.95,0.5052910052910052,-0.0359094120561845,0.4563492063492063,0.503968253968254,0.5515873015873016,0.503968253968254,0.4841269841269841,0.5317460317460317
2026-06-21 15:07:28,overnight V2 T=BoW+VADER delta 0.95,0.5119047619047619,-0.0226948250709888,0.4523809523809524,0.5079365079365079,0.5476190476190477,0.5436507936507936,0.4880952380952381,0.5317460317460317
2026-06-21 15:16:08,T=VADER | HL=RoBERTa+BoW+TBlob+VADER delta 0.98,0.498015873015873,-0.0390839926465487,0.5277777777777778,0.4880952380952381,0.5,0.5238095238095238,0.4682539682539682,0.4801587301587302
